surfactant,cmc_mean,gamma_max_mean,Kad_mean,st_at_cmc_mean,C20_mean
16BAC,0.54 (6%),7.8 (17%),9815.0 (31%),39.1 (0%),0.25 (4%)
BDDAB,3.86 (12%),7.9 (5%),1854.0 (2%),32.4 (0%),1.23 (8%)
C12E3,0.11 (16%),13.0 (27%),29258.0 (54%),30.0 (14%),0.04 (10%)
C12E4,0.11 (22%),14.6 (76%),47881.0 (75%),30.1 (8%),0.04 (14%)
CTAB,1.1 (20%),15.5 (43%),2315.0 (74%),34.7 (6%),0.49 (7%)
DTAB,13.62 (6%),7.9 (20%),524.0 (42%),34.2 (5%),4.75 (13%)
NaOleate,0.14 (13%),14.6 (22%),13170.0 (51%),38.7 (1%),0.08 (18%)
SDBS,2.82 (6%),6.7 (16%),3662.0 (48%),35.0 (2%),0.93 (13%)
SDS,7.7 (4%),14.8 (10%),213.0 (20%),38.3 (0%),4.23 (6%)
SOS,62.48 (5%),9.1 (10%),52.0 (21%),41.1 (2%),35.19 (6%)
TTAB,2.86 (26%),99.9 (153%),817.0 (88%),33.4 (2%),1.22 (6%)
