sample,cmc_mean,cmc_std,gamma_max_mean,gamma_max_std,Kad_mean,Kad_std,g0_mean,g0_std,st_at_cmc_mean,st_at_cmc_std,C20_mean,C20_std,cmc_relerr,gamma_max_relerr,Kad_relerr,g0_relerr,st_at_cmc_relerr,C20_relerr
16BAC_1,0.5410621762275696,0.022135383637824767,7.565179809413773e-06,2.2446519384808367e-07,10191.859375,1149.0412486705072,0.07350359360376994,0.0011051966610277368,39.06410344441732,0.13481628408766613,0.255264088511467,0.006895885615003339,4.091097957014587,2.9670833939567327,11.2741081523263,1.5035954119269783,0.3451155209014091,2.7014711137847978
BDDAB_1,4.98695691426595,0.33842447657991076,7.636501626014555e-06,4.343582663887721e-07,1967.3129069010417,357.55329852270916,0.07259781658649445,0.00042352066078110066,28.70708719889323,1.6855072311106534,1.2345469792683919,0.07906760378893755,6.786192108694503,5.68792213582571,18.17470404776308,0.5833793365899784,5.87139760795946,6.404584444068222
C12E3_1,0.11689240733782451,0.009650865302069657,9.703793997080842e-06,2.0250961910947683e-06,61316.942708333336,29778.91544315723,0.07481332371632259,0.0005100639819500035,28.14071528116862,0.9869087258146018,0.03435070812702179,0.005620339194132265,8.256195181418589,20.869117704930368,48.565558111412656,0.6817822770233626,3.5070491846205045,16.361639979442106
C12E4_1,0.0968600461880366,0.02231349820757618,1.0149142932884084e-05,4.281695271002818e-06,67902.55143229167,35949.40776611645,0.0738772302865982,0.002499844139021657,30.51837984720866,3.2145048550742397,0.03091868944466114,0.0068530076047701345,23.036844484111104,42.18775220053077,52.942646495342714,3.383781618942398,10.533012798083552,22.164612174250717
CTAB_1,1.0820428133010864,0.25734472982551665,3.7346504844511706e-05,4.711795176029889e-05,2803.2266235351562,2541.2996403263924,0.07392261425654094,0.0007351802132327809,34.800987243652344,2.242399004138431,0.48458583156267804,0.04877708536136866,23.7832298927629,126.16428754570097,90.6562323213652,0.9945268043164877,6.4434925033554675,10.065726685419952
DTAB_1,13.3833589553833,1.7335860397834881,7.222564666638694e-06,1.800382573821135e-06,721.6942443847656,301.3683857894163,0.07379390796025594,0.000755483350714107,34.881537119547524,0.8983710306876298,4.56058136622111,0.3680862418954463,12.953295548321023,24.92719216675445,41.75845770341826,1.0237746876354572,2.5754915203670454,8.071037710712789
NaOleate_1,0.157356729110082,0.014619818545221132,1.7324676567416947e-05,1.382192303907864e-07,8874.24267578125,1266.8978986594,0.07556575288375218,0.00023241479266483182,38.82510248819987,1.05757515669677,0.09499622633059819,0.013145375234360358,9.290875978359686,0.7978170897039403,14.276124114983904,0.3075663032463541,2.723946851185259,13.837786764931995
SDBS_1,2.741709311803182,0.1275182865512546,7.071877310712201e-06,1.301120825177625e-06,4339.170735677083,2961.0816825928014,0.07542799413204193,0.0022036773739605013,34.99899037679037,0.6513233570224576,0.9572685956954956,0.10476943826666371,4.651050569157081,18.398520902034576,68.2407276175261,2.921564333399628,1.8609775596680744,10.944622934229272
SDS_2,7.745479742685954,0.4355843822660732,1.3751118482711414e-05,3.7677304107467645e-06,292.490717569987,171.07767614949466,0.07356830189625423,0.0014004969694809731,38.24567667643229,0.09603399148033208,4.154504617055257,0.07979648135862415,5.623723729668197,27.39944692850797,58.48995057716979,1.9036690169306196,0.25109763985300343,1.9207219323102949
SOS_4,200.99976603190103,25.675872570774622,3.428559845512306e-06,3.139569667547065e-07,300.294194539388,76.13740723858588,0.07371630767981212,0.0003340123150389978,39.97184371948242,0.018399028379449303,57.4183235168457,1.2030033408838767,12.774080824899844,9.157109133318746,25.354272118170883,0.45310505307697346,0.04602997176855655,2.0951558095055374
TTAB_1,3.0029380321502686,0.5098820138754067,5.4971020896725044e-05,6.21476437406792e-05,802.4001668294271,999.4541159485434,0.07310332109530766,0.0012255249983634745,31.045008341471355,0.7469506453163121,1.2648558616638184,0.12228734238128917,16.979438417192483,113.05528390574553,124.55806432565282,1.6764286218483966,2.406024946427542,9.668085201457641
