sample,cmc_mean,cmc_std,gamma_max_mean,gamma_max_std,Kad_mean,Kad_std,st_at_cmc_mean,st_at_cmc_std,C20_mean,C20_std,cmc_relerr,gamma_max_relerr,Kad_relerr,st_at_cmc_relerr,C20_relerr
16BAC_1,0.5401833852132162,0.03179807726838894,7.753827958367765e-06,1.3233946158624195e-06,9814.777180989584,3044.4616545487966,39.069801330566406,0.172747625748734,0.2526725431283315,0.009328222639276247,5.886533747393562,17.067629343442427,31.01916221231867,0.44215127762521855,3.6918228327398737
BDDAB_1,3.8571949005126953,0.4741535352832686,7.911989390170978e-06,4.1767093871840837e-07,1854.2416178385417,28.487530689228517,32.43719482421875,0.11887148445211837,1.2255072593688965,0.10340455194386723,12.29270357119482,5.278962320617856,1.5363440457363886,0.36646659828723765,8.437693955164152
C12E3_1,0.11430693666140239,0.018696152499523368,1.3001936470876293e-05,3.524120857408663e-06,29258.057942708332,15676.840495018723,29.978917439778645,4.0848493106003305,0.04163162037730217,0.004320913724374018,16.35609617892632,27.104584500182128,53.581275031023345,13.625739884723775,10.378922764029163
C12E4_1,0.10876136024792989,0.024430046124791882,1.4632083548349328e-05,1.1188132707405376e-05,47880.780598958336,36148.57567543456,30.12127113342285,2.442624076297381,0.035969832291205726,0.00491900157235166,22.46206379646385,76.46301820541156,75.4970475068257,8.109299456446319,13.675353091802734
CTAB_1,1.1008708874384563,0.2251519838874894,1.550701472297078e-05,6.636435088631951e-06,2315.232666015625,1717.391698721962,34.71698125203451,2.0752239181297716,0.4887217879295349,0.03379691333230908,20.45216986447708,42.79634221795958,74.17793139889862,5.977547134828026,6.9153686549333875
DTAB_1,13.61591911315918,0.8777074908552933,7.910275598987937e-06,1.5779503249396359e-06,524.1192932128906,220.07879572626447,34.17246882120768,1.788486876047611,4.7499314943949384,0.6138632555468552,6.446186141095889,19.94810806770782,41.99021073564473,5.23370695106952,12.923623346383673
NaOleate_1,0.13960609833399454,0.017717891145441058,1.461125642284363e-05,3.2320566050041394e-06,13169.676106770834,6738.113717067457,38.66023508707682,0.5029858692963672,0.07742645591497421,0.013942940093853516,12.69134468829052,22.120319508944185,51.163852948541674,1.3010419314922976,18.00797922245717
SDBS_1,2.8242056369781494,0.1693495693489767,6.66108977990613e-06,1.0390806150143915e-06,3661.61572265625,1753.1626827864804,34.987080891927086,0.6376785439815429,0.9280586441357931,0.11764306859566385,5.996361140691503,15.599258519962996,47.87948314561753,1.8226114546431929,12.67625374097053
SDS_2,7.701277573903401,0.28834245079708287,1.4835886455936512e-05,1.547715816723752e-06,212.82083129882812,43.02535287399245,38.250885009765625,0.0914436048350434,4.231035947799683,0.2345603563304764,3.744085939379226,10.432243609578453,20.21670181974774,0.2390627166187068,5.543804383237578
SOS_4,62.482794443766274,2.9487999862577428,9.111383102814822e-06,8.75564534593171e-07,52.41093953450521,10.917682497447544,41.06752014160156,0.6392112715979585,35.19030507405599,2.285331749316758,4.719379170711748,9.609567775968927,20.83092307524804,1.5564886055791691,6.494208403443527
TTAB_1,2.8621811866760254,0.7557253792810632,9.994970453893377e-05,0.00015262374228565312,816.5849456787109,716.2148249655469,33.38858413696289,0.7245585574368052,1.2212106784184773,0.07410941592355698,26.403827360724136,152.70054372817182,87.70855117470472,2.170078714522912,6.068520136061371
