alpha,concentration,point type,surface tension eq. (mN/m)
0.0,0.00290625,explore,72.79167056
0.0,0.0058125,explore,71.73361677
0.0,0.011625,explore,70.12881533
0.0,0.02325,explore,58.79853838
0.0,0.0465,explore,41.01749995
0.0,0.093,explore,29.19361512
0.0,0.186,explore,28.42723162
0.0,0.372,explore,28.25783123
0.0,0.074276514,exploit,36.93917374
0.0,0.084157199,exploit,35.79532065
0.2,0.00290625,explore,71.22610677
0.2,0.0058125,explore,69.59422915
0.2,0.011625,explore,65.7677318
0.2,0.02325,explore,48.46554905
0.2,0.0465,explore,42.15255027
0.2,0.093,explore,34.40526027
0.2,0.186,explore,31.82210615
0.2,0.372,explore,29.57408076
0.2,0.061204076,exploit,40.92631438
0.2,0.0862858,exploit,37.9642286
0.2,0.02325001,exploit,68.10408491
0.2,0.018920276,exploit,68.57466516
0.4,0.00290625,explore,72.48423757
0.4,0.0058125,explore,71.53482921
0.4,0.011625,explore,70.29114595
0.4,0.02325,explore,55.38210544
0.4,0.0465,explore,45.80760127
0.4,0.093,explore,37.62564566
0.4,0.186,explore,32.61229791
0.4,0.372,explore,31.84227727
0.4,0.066795625,exploit,44.94358329
0.4,0.100864626,exploit,38.28664574
0.4,0.117172696,exploit,37.33584949
0.4,0.029476684,exploit,67.7852955
0.6,0.00290625,explore,72.31637338
0.6,0.0058125,explore,71.61021954
0.6,0.011625,explore,70.76069131
0.6,0.02325,explore,63.07908909
0.6,0.0465,explore,49.49274054
0.6,0.093,explore,43.66442798
0.6,0.186,explore,35.10773205
0.6,0.372,explore,33.99418591
0.6,0.116443276,exploit,43.39952346
0.6,0.15042004,exploit,38.08424229
0.6,0.034029387,exploit,67.45029559
0.6,0.138691559,exploit,39.82611225
0.8,0.00290625,explore,71.41842271
0.8,0.0058125,explore,71.40939098
0.8,0.011625,explore,70.43427424
0.8,0.02325,explore,68.09096352
0.8,0.0465,explore,59.32218025
0.8,0.093,explore,52.29073939
0.8,0.186,explore,41.74820126
0.8,0.372,explore,35.81586194
0.8,0.225727528,exploit,38.59278412
0.8,0.038316131,exploit,67.64017188
0.8,0.077595375,exploit,62.04014106
0.8,0.214727998,exploit,38.64002653
1.0,0.006409345,explore,70.67789088
1.0,0.012818689,explore,70.54815197
1.0,0.025637378,explore,68.33753132
1.0,0.051274757,explore,65.197029
1.0,0.102549514,explore,59.17595705
1.0,0.205099027,explore,52.37149507
1.0,0.410198055,explore,43.14142592
1.0,0.820396109,explore,38.91568991
1.0,0.529889092,exploit,40.68395275
1.0,0.110529254,exploit,61.13321557
1.0,0.497811685,exploit,40.68032126
