alpha,concentration,point type,surface tension eq. (mN/m),,,,
0,0.197890625,explore,70.86941823,,,,
0,0.39578125,explore,69.83494476,,,,
0,0.7915625,explore,67.09247286,,,,
0,1.583125,explore,61.46033829,,,,
0,3.16625,explore,53.67823419,,,,
0,6.3325,explore,41.13253302,,,,
0,12.665,explore,38.36272148,,,,
0,25.33,explore,37.99746766,,,,
0,7.130219936,exploit,39.56396104,,,,
0,1.48728931,exploit,64.4929017,,,,
0.145,0.18515625,explore,72.94383395,,,,
0.145,0.3703125,explore,71.37034489,,,,
0.145,0.740625,explore,68.63374267,,,,
0.145,1.48125,explore,62.76179058,,,,
0.145,2.9625,explore,55.92595362,,,,
0.145,5.925,explore,44.98616717,,,,
0.145,11.85,explore,38.27827631,,,,
0.145,23.7,explore,38.07469421,,,,
0.145,7.653844833,exploit,39.76875379,,,,
0.145,3.356587648,exploit,57.26064784,,,,
0.145,7.896588326,exploit,38.53764338,,,,
0.145,1.647145748,exploit,66.58587533,,,,
0.311,0.17265625,explore,73.21022317,,,,
0.311,0.3453125,explore,72.39343149,,,,
0.311,0.690625,explore,70.72243669,,,,
0.311,1.38125,explore,66.11525053,,,,
0.311,2.7625,explore,58.18580002,,,,
0.311,5.525,explore,48.20852186,,,,
0.311,11.05,explore,37.22573237,,,,
0.311,22.1,explore,37.75871975,,,,
0.311,7.54972887,exploit,42.94025025,,,,
0.311,8.880612373,exploit,38.73946775,,,,
0.311,3.033765316,exploit,60.55858639,,,,
0.311,8.661535263,exploit,38.63278548,,,,
0.504,0.159375,explore,74.39650481,,,,
0.504,0.31875,explore,73.58706749,,,,
0.504,0.6375,explore,72.62284021,,,,
0.504,1.275,explore,69.93060889,,,,
0.504,2.55,explore,63.22514684,,,,
0.504,5.1,explore,52.93901258,,,,
0.504,10.2,explore,38.81127264,,,,
0.504,20.4,explore,37.55201705,,,,
0.504,8.780366898,exploit,42.38676907,,,,
0.504,9.582533836,exploit,40.7145991,,,,
0.504,4.150256157,exploit,57.42417482,,,,
0.504,4.176253796,exploit,57.77471867,,,,
0.731,0.146875,explore,73.29141801,,,,
0.731,0.29375,explore,72.69024925,,,,
0.731,0.5875,explore,71.44857458,,,,
0.731,1.175,explore,69.71999185,,,,
0.731,2.35,explore,65.18405738,,,,
0.731,4.7,explore,57.8748241,,,,
0.731,9.4,explore,49.48890598,,,,
0.731,18.8,explore,36.31282929,,,,
0.731,16.69668579,exploit,35.73245569,,,,
0.731,15.10909843,exploit,35.92777471,,,,
0.731,4.584055424,exploit,61.60859552,,,,
0.731,4.584055424,exploit,60.63922359,,,,
1,2.684375,explore,69.66040833,,,,
1,5.36875,explore,68.04633754,,,,
1,10.7375,explore,64.44277095,,,,
1,21.475,explore,60.01496328,,,,
1,42.95,explore,50.8532667,,,,
1,85.9,explore,43.67263798,,,,
1,171.8,explore,40.08820161,,,,
1,343.6,explore,39.67745426,,,,
1,118.85466,exploit,41.21445249,,,,
1,121.1022339,exploit,40.62122727,,,,
1,100.4136429,exploit,42.30376836,,,,
