solution,ST (mN/m),CMC (mM),,,solution,CMC mean,CMC std,%,st mean,st std,2%
BDDAB_1_1,32.54,4.33,,,BDDAB,3.86,0.48,12.32,32.68,0.2,0.61
BDDAB_1_2,32.91,3.38,,,SDBS,2.82,0.17,6.1,35.15,0.62,1.75
BDDAB_1_3,32.59,3.86,,,DTAB,13.19,1.62,12.27,35.18,0.99,2.82
SDBS_1_1,35.77,2.63,,,SDS_1,6.34,0.63,10.01,34.02,1.01,2.97
SDBS_1_2,35.13,2.88,,,TTAB,3,0.48,16.1,31.28,0.7,2.24
SDBS_1_3,34.54,2.96,,,CTAB,0.99,0.04,4.19,36.03,0.42,1.17
DTAB_1_1,34.51,14.29,,,SDS_2,,,,,,
DTAB_1_2,36.32,13.94,,,,,,,,,
DTAB_1_3,34.71,11.33,,,,,,,,,
SDS_1_1,32.87,5.75,,,,,,,,,
SDS_1_2,34.76,7.01,,,,,,,,,
SDS_1_3,34.43,6.25,,,,,,,,,
TTAB_1_1,30.56,2.9,,,,,,,,,
TTAB_1_2,31.96,3.52,,,,,,,,,
TTAB_1_3,31.32,2.57,,,,,,,,,
CTAB_1_1,35.91,1.04,,,,,,,,,
CTAB_1_2,36.5,0.96,,,,,,,,,
CTAB_1_3,35.68,0.98,,,,,,,,,
SDS_2_1,39.52,7.6,,,,,,,,,
SDS_2_2,38.34,7.42,,,,,,,,,
SDS_2_3,38.42,8.02,,,,,,,,,
