surfactant,SMILES,type,pCMC,AW_ST_CMC,Gamma_max,pC20,CMC,C20,K_L,p(K_L),CMC / mM,log KL,C20 / mM
16-BAC,CCCCCCCCCCCCCCC(C)C(C)(Cl)Cc1ccccc1.[NH4+],cationic,3.5035126,37.4,2.55E-06,4.354817,0.00031368,4.42E-05,752829.7591,-5.876696778,0.31,5.88,0.04
BDDAB,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],cationic,2.3207207,37.5,2.41E-06,3.00909,0.004778365,0.000979287,67795.54584,-4.831201162,4.78,4.83,0.98
C12E3,CCCCCCCCCCCCOCCOCCOCCO,non-ionic,4.3846626,28.1,4.04E-06,5.5527925,4.12E-05,2.80E-06,1896920.005,-6.278049017,0.04,6.28,0.00
C12E4,CCCCCCCCCCCCOCCOCCOCCOCCO,non-ionic,4.2970686,28.9,3.70E-06,5.5785046,5.05E-05,2.64E-06,2135336.66,-6.329466356,0.05,6.33,0.00
CTAB,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],cationic,2.8123915,34.6,3.31E-06,3.3976243,0.001540311,0.000400291,61123.07036,-4.786205162,1.54,4.79,0.40
DTAB,CCCCCCCCCCCC[N+](C)(C)C.[Br-],cationic,2.0950618,36.4,3.25E-06,2.5387945,0.008034118,0.002892048,10096.62808,-4.004176359,8.03,4.00,2.89
NaOleate,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],anionic,2.7068949,32.4,2.42E-06,3.8638282,0.001963836,0.000136827,371019.6184,-5.569396874,1.96,5.57,0.14
SDBS,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,2.7114234,38.6,2.34E-06,3.3331285,0.001943464,0.000464378,162159.4071,-5.209942148,1.94,5.21,0.46
SDS,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,2.1415017,39.7,2.03E-06,2.6473906,0.007219354,0.002252213,83866.32532,-4.923587614,7.22,4.92,2.25
SOS,CCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0.9225155,31.1,6.68E-07,3.1252387,0.119532083,0.000749482,4.31615E+11,-11.63509663,119.53,11.64,0.75
TTAB,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],cationic,2.3477082,36.0,3.25E-06,2.844122,0.00449047,0.001431786,19016.60836,-4.279133062,4.49,4.28,1.43
