drop volume (uL),Wo
0,0
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,0
0.4,0
0.45,0
0.5,0
0.55,0
0.6,0
0.65,0
0.7,0
0.75,0
0.8,0
0.85,0
0.9,0
0.95,0
1,0
1.05,0
1.1,0
1.15,0
1.2,0
1.25,0
1.3,0
1.35,0
1.4,0
1.45,0
1.5,0
1.55,0
1.6,0
1.65,0
1.7,0
1.75,0
1.8,0
1.85,0
1.9,0
1.95,0
2,0
2.05,0
2.1,0
2.15,0
2.2,0
2.25,0
2.3,0
2.35,0
2.4,0
2.45,0
2.5,0
2.55,0
2.6,0
2.65,0
2.7,0
2.75,0
2.8,0
2.85,0
2.9,0
2.95,0
3,0
3.05,0
3.1,0
3.15,0
3.2,0
3.25,0
3.3,0
3.35,0
3.4,0
3.45,0
3.5,0
3.55,0
3.6,0
3.65,0
3.7,0
3.75,0
3.8,0
3.85,0
3.9,0
3.95,0
4,0
4.05,0
4.1,0
4.15,0
4.2,0
4.25,0
4.3,0
4.35,0
4.4,0
4.45,0
4.5,0.312663
4.55,0.333641
4.6,0.321681
4.65,0.338628
4.7,0.344471
4.75,0.351002
4.8,0.348075
4.85,0.358398
4.9,0.373792
4.95,0.375542
5,0.383735
5.05,0.392212
5.1,0.393077
5.15,0.408038
5.2,0.414331
5.25,0.420023
5.3,0.424793
5.35,0.433208
5.4,0.437636
5.45,0.448855
5.5,0.453481
5.55,0.460907
5.6,0.466995
5.65,0.474355
5.7,0.481273
5.75,0.487058
5.8,0.493588
5.85,0.50115
5.9,0.505981
5.95,0.512818
6,0.520896
6.05,0.528766
6.1,0.535055
6.15,0.542393
6.2,0.550772
6.25,0.558254
6.3,0.563637
6.35,0.569882
6.4,0.577368
6.45,0.580181
6.5,0.587762
6.55,0.602651
