sample,cmc_mean,cmc_std,gamma_max_mean,gamma_max_std,st_at_cmc_mean,st_at_cmc_std,log(Kad)_mean,log(Kad)_std
16BAC_1,0.535596489906311,0.03172747461869803,3.3068581883142187e-06,2.210565831182259e-07,39.08115005493164,0.18375104945809972,3.92264646695572,0.10017568321849883
BDDAB_1,4.994234720865886,0.3245992744149838,3.5420739171202927e-06,1.6668847933733773e-07,28.733863830566406,1.6873625780334895,3.3070374018404647,0.05989736533347321
C12E3_1,0.08244495342175166,0.007956187609496498,5.1475277492698435e-06,7.530658721319799e-07,28.135496139526367,0.5158625535750625,4.494698568618953,0.251099156136429
C12E4_1,0.07619231442610423,0.005834250416554555,4.774110530731407e-06,1.5106057102904285e-06,30.3131046295166,1.9876361024463451,4.588268387804598,0.4989224840251152
CTAB_1,1.090383807818095,0.19338273297973732,4.357415882462479e-06,5.284508214333253e-07,34.58942667643229,1.8388783993366442,3.3761339248153646,0.16768291770850793
DTAB_1,12.929462114969889,1.4731839287566486,3.3505830517546413e-06,4.0279953215111674e-07,34.880697886149086,0.9193040927821474,2.718468705774501,0.1558919937890902
NaOleate_1,0.16350272297859192,0.01050147764349018,4.740980208661083e-06,4.411820779161286e-08,38.971230824788414,1.4138835075948326,3.8776421835780805,0.06138421074741338
SDBS_1,2.652397314707438,0.1137556062630356,3.4175010198545375e-06,2.6484619762851725e-07,35.094643910725914,0.6985945812957007,3.3565489609557164,0.15356445572347177
SDS_2,7.669511159261067,0.316753118547265,4.411050825452613e-06,1.9704812100365155e-07,38.25799051920573,0.08254342408078168,2.331794066254986,0.0683534615753788
SOS_4,64.27093251546223,3.3037044172804557,3.363144350359819e-06,1.4550111753207738e-07,40.74902852376302,0.3812728393068484,1.7583020184642502,0.05607799404902799
TTAB_1,2.9928627808888755,0.48731528054366813,5.655038215682038e-06,1.535472634948842e-06,31.050405502319336,0.710397441337198,2.6474328299595213,0.46340436655916917
