surfactant,SMILES,type
SOS,CCCCCCCCOS(=O)(=O)[O-].[Na+],anionic
CTAB,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],cationic
NaOleate,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],anionic
SDS,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic
C12E3,CCCCCCCCCCCCOCCOCCOCCO,non-ionic
C12E4,CCCCCCCCCCCCOCCOCCOCCOCCO,non-ionic
BDDAB,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],cationic
DTAB,CCCCCCCCCCCC[N+](C)(C)C.[Br-],cationic
16BAC,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cationic
TTAB,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],cationic
SDBS,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic
